key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
6L,6L-3,,608,岩渕　萌香,55,B,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
7L,7L-1,CS,586,幸木百合菜,53,B,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
7L,7L-2,,548,清水　千恵,49,B,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
7L,7L-3,,595,内田　雪月,54,B,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
8L,8L-1,S,568,越智　真南,51,B,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
8L,8L-2,☆アマ,,稲葉久見子,選手,B,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
8L,8L-3,歴,268,酒井　美佳,25,B,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
9L,9L-1,S,599,石田　万音,55,B,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
9L,9L-2,,372,板倉奈智美,36,B,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
9L,9L-3,推,631,山田　悠加,57,B,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
10L,10L-1,,543,松尾　星伽,49,B,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
10L,10L-2,☆アマ,,井上　夢望,選手,B,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
10L,10L-3,,496,櫻井　麻美,45,B,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L
11L,11L-1,S,524,山田　幸,48,B,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
11L,11L-2,,475,舟本　舞,44,B,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
11L,11L-3,,560,大久保咲桜,50,B,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
12L,12L-1,,611,新舎菜々美,55,B,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
12L,12L-2,☆アマ,,澤田　枇奈,選手,B,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
12L,12L-3,,486,田中　亜実,44,B,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L
13L,13L-1,,507,寺下　智香,47,B,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
13L,13L-2,,590,横山　実美,54,B,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
13L,13L-3,,603,緒方　彩音,55,B,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
14L,14L-1,,143,鶴岡みさ子,6,B,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
14L,14L-2,☆アマ,,上形　有美,選手,B,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
14L,14L-3,,596,竹山　亜希,54,B,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L
15L,15L-1,,478,小林あゆみ,44,A,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
15L,15L-2,,286,佐藤由実子,27,A,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
15L,15L-3,,390,河上　未希,37,A,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
16L,16L-1,,618,崎山　穂花,56,A,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L
