key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
35L,35L-2,☆アマ,,森　裕雅,選手,A,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
35L,35L-3,,1022,黒田　仙雄,42,A,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
36L,36L-1,,1370,新城　一也,55,A,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
36L,36L-2,☆アマ,,大門　由弥,選手,A,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
36L,36L-3,,1092,正田　晃也,44,A,35L・36L,7L・8L,13L・14L,19L・20L,25L・26L,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L
21L,21L-1,,1433,井口　遼太,60,B,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
21L,21L-2,☆アマ,,鈴木　利和,選手,B,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
21L,21L-3,,1419,大沼はるか,58,B,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
22L,22L-1,,1448,木村　謙太,61,B,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
22L,22L-2,☆アマ,,山村　久仁,選手,B,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
22L,22L-3,,1469,田野岡大夢,62,B,21L・22L,27L・28L,33L・34L,5L・6L,11L・12L,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L
23L,23L-1,,906,富永　尚,37,B,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
23L,23L-2,☆アマ,,鈴木　広之,選手,B,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
23L,23L-3,S,1233,斉藤　祐哉,49,B,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
24L,24L-1,S,1394,藤村　隆史,57,B,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
24L,24L-2,☆アマ,,田代　泰裕,選手,B,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
24L,24L-3,,944,石野　宏,38,B,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L
25L,25L-1,,1275,稲葉　竜太,51,B,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
25L,25L-2,☆アマ,,田中　海音,選手,B,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
25L,25L-3,,1171,菅原　晃一,47,B,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
26L,26L-1,S,1444,内藤慎之介,61,B,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L
